Account Name,Industry,Phone,BillingState,Annual Revenue,Distribution Channel,Account Tier
Riverside Beverage Distributors,Food & Beverage,(212) 555-0143,NY,320000,Wholesale,Silver
Riverside Beverage Distributor,Food & Beverage,(212) 555-0143,NY,320000,Wholesale,Silver
Coastal Drinks Wholesale,Food & Beverage,(310) 555-0198,CA,480000,Wholesale,Silver
Coastal Drinks Wholesale Inc,Food & Beverage,(310) 555-0198,CA,485000,Wholesale,Silver
Metro Retail Group,Food & Beverage,(312) 555-0177,IL,610000,Retail,Silver
Metro Retail Group,Food & Beverage,(312) 555-0177,IL,610000,Retail,Silver
Sunbelt Markets,Food & Beverage,(713) 555-0162,TX,150000,Retail,Bronze
Sunbelt Market,Food & Beverage,(713) 555-0162,TX,150000,Retail,Bronze
Greenfield Grocers,Food & Beverage,(206) 555-0134,WA,950000,Direct,Gold
Greenfield Grocers Co,Food & Beverage,(206) 555-0134,WA,950000,Direct,Gold
